,Region,Month,Max Temperature (°C)_mean,Max Temperature (°C)_std,Min Temperature (°C)_mean,Min Temperature (°C)_std,Total Rainfall (mm)_mean,Total Rainfall (mm)_std,Precipitation Hours_mean,Precipitation Hours_std,Max Wind Speed (m/s)_mean,Max Wind Speed (m/s)_std
54,South,7,29.393548387096775,1.6042908731506753,24.22010752688172,0.7817916377711224,10.07263440860215,11.359682474554878,11.279032258064516,5.819528168365807,22.02790322580645,5.028119446731924
55,South,8,29.263602150537633,1.4979082369662313,23.97629032258065,0.6800864997867252,7.5374731182795704,10.391319837964529,10.390860215053763,6.167525051058256,20.287204301075267,4.993271032990571
56,South,9,29.112833333333338,1.3902003510736956,23.70911111111111,0.6521393082876646,7.396222222222222,10.217311185639101,10.312777777777777,6.507879123686089,17.520777777777777,4.738861165826733
57,South,10,29.435537634408604,1.5127880438777461,22.999032258064517,1.0780057303787713,5.644946236559139,9.298007508415774,7.244086021505377,6.353798154815419,14.30231182795699,3.9359463982910294
58,South,11,29.036944444444444,1.5054856265595522,21.836444444444442,1.4275367965807135,4.798111111111111,11.43801098979826,5.265,5.5123267759197745,15.51488888888889,4.081017816411788
59,South,12,28.516075268817204,1.3868355622968778,20.6247311827957,1.6417319450544847,2.2880645161290323,8.429430973215831,2.793548387096774,4.530442965229441,15.592903225806452,3.9756079541106897
60,West,1,29.135483870967743,2.0657321677515914,16.133225806451613,2.171496076972692,0.043333333333333335,0.30335213140495615,0.16827956989247314,0.9743574327964586,14.109139784946237,2.857172985445043
61,West,2,32.135394581861014,2.5531519178566007,18.02055359246172,2.0847015110716716,0.029681978798586573,0.3746602702954049,0.04770318021201413,0.3903882140485638,15.214487632508835,3.022520435385419
62,West,3,34.935967741935485,2.9991984241963947,21.223763440860214,2.1810141257807523,0.14301075268817204,1.2461045575209362,0.18978494623655914,1.099016556052806,16.476881720430107,3.20882280463945
63,West,4,37.33672222222222,2.262136829321621,24.37505555555556,1.6350979589021126,0.06272222222222222,0.4671802873673474,0.10222222222222221,0.47231194153505535,17.845,3.2008624985923078
64,West,5,37.28258064516129,2.097856436181136,26.574408602150537,1.2342322557745466,0.6245698924731183,6.524036818224143,0.7661290322580645,2.384359668787571,19.73736559139785,4.149675558469355
65,West,6,33.123555555555555,2.809399202656097,26.507555555555555,1.0937223240985532,7.941722222222222,12.168496289515671,9.85388888888889,7.012976854578754,20.65377777777778,5.104431130340127
66,West,7,29.381505376344084,1.6319045177650227,25.286774193548386,0.6647455706734863,15.77258064516129,20.040865565259875,16.616666666666667,5.7651534589135025,21.197580645161292,5.149994098807227
67,West,8,28.96456989247312,1.3358073282428033,24.78790322580645,0.5324956774895822,10.881344086021505,19.968220791260027,14.623118279569894,6.407771492139438,19.901344086021506,5.4543669653552405
68,West,9,29.78027777777778,1.633711348515211,24.415611111111108,0.8765213209144925,9.605611111111111,17.79481741463451,10.556666666666667,7.12666652670223,15.461333333333334,4.459079499512701
69,West,10,32.29747311827957,2.0364438589894225,23.117311827956986,1.776655397394463,2.4777419354838712,5.91282347532179,2.9365591397849458,4.725126736049803,12.346021505376344,3.105009971061193
70,West,11,32.26744444444444,1.4904877825291543,20.270666666666667,2.007536219310622,0.3789444444444445,2.841806733592547,0.47277777777777774,1.8141171220006165,13.13261111111111,2.7927220620171442
71,West,12,29.926290322580645,1.962771527036554,17.93220430107527,2.3641017757792504,0.40021505376344085,3.204213185141905,0.4241935483870967,2.1365059499574692,13.491666666666667,3.0716093916263048
